accepted_symbol,synonym_symbol,scientific_name,county,common_name,genus,family,family_common_name,order,subclass,class,division,growth_habit,active_growth_period,fall_conspicuous,foliage_color,foliage_texture,fruit_conspicuous,growth_form,base_age_height,mature_height,leaf_retention,lifespan,shape_orientation,toxicity,coarse_soil,medium_soil,fine_soil,drought_tolerance,moisture_use,minimum_precipitation,maximum_precipitation,minimum_root_depth,shade_tolerance,bloom_period,fruit_seed_abundance,fruit_nut_period_begin,fruit_nut_period_end,fruit_seed_persistence,berry_nut_seed_product,fodder_product,palatable_human
ACFL,,Acer floridanum,"AR(Arkansas, Ashley, Baxter, Benton, Bradley, Calhoun, Carroll, Clark, Cleburne, Cleveland, Columbia, Craighead, Crawford, Cross, Dallas, Drew, Franklin, Fulton, Garland, Hempstead, Hot Spring, Howard, Izard, Johnson, Lee, Logan, Madison, Marion, Miller, Monroe, Montgomery, Nevada, Newton, Ouachita, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Randolph, Saline, Scott, Searcy, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Yell)",southern sugar maple,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLE,,Acer leucoderme,"AR(Clark, Garland, Hot Spring, Howard, Montgomery, Pike, Polk)",chalk maple,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNE2,,Acer negundo,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",boxelder,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,Yes,Green,Coarse,Yes,Multiple Stem,35,60,No,Short,Erect,None,Yes,Yes,Yes,High,Medium,15,75,40,Tolerant,Early Spring,High,Summer,Fall,No,No,No,Yes
ACNI5,,Acer nigrum,"AR(Benton, Carroll, Stone)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ACRU,,Acer rubrum,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",red maple,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,Yes,Green,Medium,Yes,Single Stem,35,68,No,Short,Rounded,Slight,Yes,Yes,Yes,Medium,High,25,80,30,Intermediate,Early Spring,High,Spring,Spring,No,No,No,Yes
ACRUD,,Acer rubrum var. drummondii,"AR(Arkansas, Ashley, Bradley, Calhoun, Chicot, Clark, Clay, Cleburne, Cleveland, Conway, Craighead, Desha, Drew, Faulkner, Garland, Greene, Hempstead, Jackson, Jefferson, Lafayette, Lawrence, Lee, Miller, Mississippi, Nevada, Ouachita, Phillips, Randolph, Saline, St. Francis, Union, Washington, White, Woodruff)",Drummond's maple,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRUR,,Acer rubrum var. rubrum,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",red maple,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSA2,,Acer saccharinum,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lawrence, Lee, Lincoln, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Newton, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",silver maple,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,Yes,Green,Medium,Yes,Single Stem,45,90,No,Moderate,Rounded,None,Yes,Yes,Yes,Low,Medium,20,70,32,Intermediate,Early Spring,High,Summer,Fall,No,No,No,Yes
ACSA3,,Acer saccharum,"AR(Benton, Carroll, Crawford, Franklin, Hempstead, Izard, Logan, Madison, Montgomery, Newton, Pike, Polk, Pope, Randolph, Scott, Searcy, Sebastian, Sharp, Stone, Van Buren, Washington)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ACSAS,,Acer saccharum var. saccharum,"AR(Benton, Carroll, Crawford, Franklin, Hempstead, Izard, Logan, Madison, Montgomery, Newton, Pike, Polk, Pope, Randolph, Scott, Searcy, Sebastian, Stone, Van Buren, Washington)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
