accepted_symbol,synonym_symbol,scientific_name,common_name,genus,family,family_common_name,order,subclass,class,subdivision,division,growth_habit,active_growth_period,fall_conspicuous,flower_color,flower_conspicuous,foliage_color,foliage_texture,fruit_conspicuous,growth_form,base_age_height,mature_height,leaf_retention,lifespan,shape_orientation,toxicity,coarse_soil,medium_soil,fine_soil,drought_tolerance,moisture_use,minimum_precipitation,maximum_precipitation,minimum_root_depth,shade_tolerance,bloom_period,fruit_seed_abundance,fruit_nut_period_begin,fruit_nut_period_end,fruit_seed_persistence,berry_nut_seed_product,fodder_product,palatable_human
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGR3,,Acer grandidentatum Nutt.,bigtooth maple,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",Spring and Summer,No,Yellow,Yes,Green,Medium,No,Single Stem,20,38,No,Short,Erect,None,Yes,Yes,Yes,Low,Medium,16,30,24,Intermediate,Spring,Medium,Summer,Summer,No,No,No,No
ACGRG,,Acer grandidentatum Nutt. var. grandidentatum,bigtooth maple,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGRS,,Acer grandidentatum Nutt. var. sinuosum (Rehder) Little,canyon maple,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLE,,Acer leucoderme Small,chalk maple,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNE2,,Acer negundo L.,boxelder,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Tree,Spring and Summer,Yes,White,No,Green,Coarse,Yes,Multiple Stem,35,60,No,Short,Erect,None,Yes,Yes,Yes,High,Medium,15,75,40,Tolerant,Early Spring,High,Summer,Fall,No,No,No,Yes
ACNEN,,Acer negundo L. var. negundo,boxelder,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNET,,Acer negundo L. var. texanum Pax,boxelder,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRU,,Acer rubrum L.,red maple,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Tree,Spring and Summer,Yes,Red,Yes,Green,Medium,Yes,Single Stem,35,68,No,Short,Rounded,Slight,Yes,Yes,Yes,Medium,High,25,80,30,Intermediate,Early Spring,High,Spring,Spring,No,No,No,Yes
ACRUD,,Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.,Drummond's maple,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRUR,,Acer rubrum L. var. rubrum,red maple,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRUT,,Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch,red maple,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSA2,,Acer saccharinum L.,silver maple,Acer,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Tree,Spring and Summer,Yes,Yellow,Yes,Green,Medium,Yes,Single Stem,45,90,No,Moderate,Rounded,None,Yes,Yes,Yes,Low,Medium,20,70,32,Intermediate,Early Spring,High,Summer,Fall,No,No,No,Yes
